Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D58,1N4148WS,D_SOD-323,138.25,-130.9,90.0,top
D59,1N4148WS,D_SOD-323,149.68,-130.9,90.0,top
D6,1N4148WS,D_SOD-323,183.97,-51.1,90.0,top
D60,1N4148WS,D_SOD-323,161.11,-130.9,90.0,top
D61,1N4148WS,D_SOD-323,172.54,-130.9,90.0,top
D62,1N4148WS,D_SOD-323,183.97,-130.9,90.0,top
D63,1N4148WS,D_SOD-323,195.4,-130.9,90.0,top
D64,1N4148WS,D_SOD-323,206.83,-130.9,90.0,top
D65,1N4148WS,D_SOD-323,218.26,-130.9,90.0,top
D66,SK6812-EC20,SK6812-EC20,157.68,-51.1,90.0,top
D67,SK6812-EC20,SK6812-EC20,169.11,-51.1,90.0,top
D68,SK6812-EC20,SK6812-EC20,180.54,-51.1,90.0,top
D69,SK6812-EC20,SK6812-EC20,191.97,-51.1,90.0,top
D7,1N4148WS,D_SOD-323,195.4,-51.1,90.0,top
D70,SK6812-EC20,SK6812-EC20,203.4,-51.1,90.0,top
D71,SK6812-EC20,SK6812-EC20,214.83,-51.1,90.0,top
D72,SK6812-EC20,SK6812-EC20,226.26,-51.1,90.0,top
D73,SK6812-EC20,SK6812-EC20,146.25,-62.5,90.0,top
D74,SK6812-EC20,SK6812-EC20,157.68,-62.5,90.0,top
D75,SK6812-EC20,SK6812-EC20,169.11,-62.5,90.0,top
D76,SK6812-EC20,SK6812-EC20,180.54,-62.5,90.0,top
D77,SK6812-EC20,SK6812-EC20,191.97,-62.5,90.0,top
D78,SK6812-EC20,SK6812-EC20,203.4,-62.5,90.0,top
D79,SK6812-EC20,SK6812-EC20,214.83,-62.5,90.0,top
D8,1N4148WS,D_SOD-323,206.83,-51.1,90.0,top
D80,SK6812-EC20,SK6812-EC20,226.26,-62.5,90.0,top
D81,SK6812-EC20,SK6812-EC20,146.25,-73.9,90.0,top
D82,SK6812-EC20,SK6812-EC20,157.68,-73.9,90.0,top
D83,SK6812-EC20,SK6812-EC20,169.11,-73.9,90.0,top
D84,SK6812-EC20,SK6812-EC20,180.54,-73.9,90.0,top
D85,SK6812-EC20,SK6812-EC20,191.97,-73.9,90.0,top
D86,SK6812-EC20,SK6812-EC20,203.4,-73.9,90.0,top
D87,SK6812-EC20,SK6812-EC20,214.83,-73.9,90.0,top
D88,SK6812-EC20,SK6812-EC20,226.26,-73.9,90.0,top
D89,SK6812-EC20,SK6812-EC20,146.25,-85.3,90.0,top
D9,1N4148WS,D_SOD-323,218.26,-51.1,90.0,top
D90,SK6812-EC20,SK6812-EC20,157.68,-85.3,90.0,top
D91,SK6812-EC20,SK6812-EC20,169.11,-85.3,90.0,top
D92,SK6812-EC20,SK6812-EC20,180.54,-85.3,90.0,top
D93,SK6812-EC20,SK6812-EC20,191.97,-85.3,90.0,top
D94,SK6812-EC20,SK6812-EC20,203.4,-85.3,90.0,top
D95,SK6812-EC20,SK6812-EC20,214.83,-85.3,90.0,top
D96,SK6812-EC20,SK6812-EC20,226.26,-85.3,90.0,top
D97,SK6812-EC20,SK6812-EC20,146.25,-96.7,90.0,top
D98,SK6812-EC20,SK6812-EC20,157.68,-96.7,90.0,top
D99,SK6812-EC20,SK6812-EC20,169.11,-96.7,90.0,top
J1,Conn_01x08,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Left,192.445,-91.090997,180.0,bottom
SW1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-51.1,90.0,top
SW10,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-62.5,90.0,top
SW11,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-62.5,90.0,top
SW12,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-62.5,90.0,top
SW13,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-62.5,90.0,top
SW14,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-62.5,90.0,top
SW15,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-62.5,90.0,top
SW16,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-62.5,90.0,top
SW17,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-73.95,90.0,top
SW18,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-73.95,90.0,top
SW19,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-73.95,90.0,top
SW2,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-51.1,90.0,top
SW20,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-73.95,90.0,top
SW21,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-73.95,90.0,top
SW22,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-73.95,90.0,top
SW23,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-73.95,90.0,top
SW24,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-73.95,90.0,top
SW25,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-85.375997,90.0,top
SW26,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-85.375997,90.0,top
SW27,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-85.375997,90.0,top
SW28,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-85.375997,90.0,top
SW29,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-85.375997,90.0,top
SW3,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-51.1,90.0,top
SW30,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-85.375997,90.0,top
SW31,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-85.35,90.0,top
SW32,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-85.35,90.0,top
SW33,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-96.805996,90.0,top
SW34,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-96.805996,90.0,top
SW35,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-96.805996,90.0,top
SW36,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-96.805996,90.0,top
SW37,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-96.805996,90.0,top
SW38,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-96.805996,90.0,top
SW39,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-96.805996,90.0,top
SW4,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-51.1,90.0,top
SW40,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-96.805996,90.0,top
SW41,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-108.235996,90.0,top
SW42,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-108.235996,90.0,top
SW43,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-108.235996,90.0,top
SW44,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-108.235996,90.0,top
SW45,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-108.235996,90.0,top
SW46,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-108.235996,90.0,top
SW47,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-108.235996,90.0,top
SW48,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-108.235996,90.0,top
SW49,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-119.665996,90.0,top
SW5,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-51.1,90.0,top
SW50,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-119.665996,90.0,top
SW51,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-119.665996,90.0,top
SW52,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-119.665996,90.0,top
SW53,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-119.665996,90.0,top
SW54,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-119.665996,90.0,top
SW55,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-119.665996,90.0,top
SW56,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-119.665996,90.0,top
SW57,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-131.095996,90.0,top
SW58,SW_Push,SW_Push_1P1T_XKB_TS-1187A,153.515991,-131.095996,90.0,top
SW59,SW_Push,SW_Push_1P1T_XKB_TS-1187A,164.945991,-131.095996,90.0,top
SW6,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-51.1,90.0,top
SW60,SW_Push,SW_Push_1P1T_XKB_TS-1187A,176.375991,-131.095996,90.0,top
SW61,SW_Push,SW_Push_1P1T_XKB_TS-1187A,187.805991,-131.095996,90.0,top
SW62,SW_Push,SW_Push_1P1T_XKB_TS-1187A,199.235991,-131.095996,90.0,top
SW63,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-131.095996,90.0,top
SW64,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-131.095996,90.0,top
SW7,SW_Push,SW_Push_1P1T_XKB_TS-1187A,210.665991,-51.1,90.0,top
SW8,SW_Push,SW_Push_1P1T_XKB_TS-1187A,222.095991,-51.1,90.0,top
SW9,SW_Push,SW_Push_1P1T_XKB_TS-1187A,142.085991,-62.5,90.0,top
U1,Pico,RPi_Pico_SMD_TH,159.135,-68.3,270.0,bottom
U2,74LVC1G17,SOT-23-5_HandSoldering,135.702,-56.468,90.0,top
